gamma,coset_representative,kernel_sum,scalar,scalar_order,projective_order
04,04,33,D8,51,4
05,04,33,D8,51,4
06,04,33,D8,51,4
07,04,33,D8,51,4
08,08,4E,13,255,4
09,08,4E,13,255,4
0A,08,4E,13,255,4
0B,08,4E,13,255,4
0C,0C,73,6B,85,4
0D,0C,73,6B,85,4
0E,0C,73,6B,85,4
0F,0C,73,6B,85,4
10,10,21,96,255,4
11,10,21,96,255,4
12,10,21,96,255,4
13,10,21,96,255,4
14,14,8D,74,51,4
15,14,8D,74,51,4
16,14,8D,74,51,4
17,14,8D,74,51,4
18,18,56,E6,255,4
19,18,56,E6,255,4
1A,18,56,E6,255,4
1B,18,56,E6,255,4
1C,1C,E3,F0,255,4
1D,1C,E3,F0,255,4
1E,1C,E3,F0,255,4
1F,1C,E3,F0,255,4
20,20,FF,1E,255,4
21,20,FF,1E,255,4
22,20,FF,1E,255,4
23,20,FF,1E,255,4
24,24,79,D0,255,4
25,24,79,D0,255,4
26,24,79,D0,255,4
27,24,79,D0,255,4
28,28,46,B8,255,4
29,28,46,B8,255,4
2A,28,46,B8,255,4
2B,28,46,B8,255,4
2C,2C,14,45,255,4
2D,2C,14,45,255,4
2E,2C,14,45,255,4
2F,2C,14,45,255,4
30,30,97,91,51,4
31,30,97,91,51,4
32,30,97,91,51,4
33,30,97,91,51,4
34,34,EE,41,255,4
35,34,EE,41,255,4
36,34,EE,41,255,4
37,34,EE,41,255,4
38,38,88,6E,255,4
39,38,88,6E,255,4
3A,38,88,6E,255,4
3B,38,88,6E,255,4
3C,3C,8C,75,85,4
3D,3C,8C,75,85,4
3E,3C,8C,75,85,4
3F,3C,8C,75,85,4
40,40,B3,1D,17,4
41,40,B3,1D,17,4
42,40,B3,1D,17,4
43,40,B3,1D,17,4
44,44,80,C5,51,4
45,44,80,C5,51,4
46,44,80,C5,51,4
47,44,80,C5,51,4
48,48,7B,C0,255,4
49,48,7B,C0,255,4
4A,48,7B,C0,255,4
4B,48,7B,C0,255,4
4C,4C,91,9A,51,4
4D,4C,91,9A,51,4
4E,4C,91,9A,51,4
4F,4C,91,9A,51,4
50,50,7E,DA,255,4
51,50,7E,DA,255,4
52,50,7E,DA,255,4
53,50,7E,DA,255,4
54,54,50,ED,5,4
55,54,50,ED,5,4
56,54,50,ED,5,4
57,54,50,ED,5,4
58,58,F4,A4,255,4
59,58,F4,A4,255,4
5A,58,F4,A4,255,4
5B,58,F4,A4,255,4
5C,5C,CB,CC,51,4
5D,5C,CB,CC,51,4
5E,5C,CB,CC,51,4
5F,5C,CB,CC,51,4
60,60,34,D2,85,4
61,60,34,D2,85,4
62,60,34,D2,85,4
63,60,34,D2,85,4
64,64,9A,20,51,4
65,64,9A,20,51,4
66,64,9A,20,51,4
67,64,9A,20,51,4
68,68,FD,0E,255,4
69,68,FD,0E,255,4
6A,68,FD,0E,255,4
6B,68,FD,0E,255,4
6C,6C,BA,B7,255,4
6D,6C,BA,B7,255,4
6E,6C,BA,B7,255,4
6F,6C,BA,B7,255,4
70,70,DC,98,255,4
71,70,DC,98,255,4
72,70,DC,98,255,4
73,70,DC,98,255,4
74,74,23,86,255,4
75,74,23,86,255,4
76,74,23,86,255,4
77,74,23,86,255,4
78,78,10,5E,51,4
79,78,10,5E,51,4
7A,78,10,5E,51,4
7B,78,10,5E,51,4
7C,7C,58,46,255,4
7D,7C,58,46,255,4
7E,7C,58,46,255,4
7F,7C,58,46,255,4
80,80,02,10,51,4
81,80,02,10,51,4
82,80,02,10,51,4
83,80,02,10,51,4
84,84,0D,B1,15,4
85,84,0D,B1,15,4
86,84,0D,B1,15,4
87,84,0D,B1,15,4
88,88,49,19,255,4
89,88,49,19,255,4
8A,88,49,19,255,4
8B,88,49,19,255,4
8C,8C,E8,4A,17,4
8D,8C,E8,4A,17,4
8E,8C,E8,4A,17,4
8F,8C,E8,4A,17,4
90,90,EB,5B,255,4
91,90,EB,5B,255,4
92,90,EB,5B,255,4
93,90,EB,5B,255,4
94,94,A4,49,255,4
95,94,A4,49,255,4
96,94,A4,49,255,4
97,94,A4,49,255,4
98,98,29,3D,85,4
99,98,29,3D,85,4
9A,98,29,3D,85,4
9B,98,29,3D,85,4
9C,9C,36,C2,17,4
9D,9C,36,C2,17,4
9E,9C,36,C2,17,4
9F,9C,36,C2,17,4
A0,A0,6A,9F,51,4
A1,A0,6A,9F,51,4
A2,A0,6A,9F,51,4
A3,A0,6A,9F,51,4
A4,A4,1A,E5,255,4
A5,A4,1A,E5,255,4
A6,A4,1A,E5,255,4
A7,A4,1A,E5,255,4
A8,A8,B6,07,85,4
A9,A8,B6,07,85,4
AA,A8,B6,07,85,4
AB,A8,B6,07,85,4
AC,AC,99,31,255,4
AD,AC,99,31,255,4
AE,AC,99,31,255,4
AF,AC,99,31,255,4
B0,B0,1C,EE,255,4
B1,B0,1C,EE,255,4
B2,B0,1C,EE,255,4
B3,B0,1C,EE,255,4
B4,B4,6D,95,255,4
